48,58,1
54,62,1
48,56,1
46,62,1
47,59,1
48,60,1
48,55,1
51,57,1
49,63,1
52,65,1
64,67,2
67,63,2
70,68,2
70,69,2
60,68,2
62,69,2
64,69,2
69,72,2
61,65,2
64,63,2
69,70,2
65,67,2
66,65,2
64,71,2
67,67,2
68,71,2
64,69,2
70,72,2
67,69,2
63,70,2
67,66,2
63,66,2
65,73,2
67,67,2
62,68,2
64,63,2
62,70,2
63,68,2
68,69,2
61,67,2
63,65,2
65,73,2
61,68,2
66,62,2
59,69,2
66,66,2
66,68,2
61,72,2
64,67,2
67,73,2
81,71,3
77,72,3
85,68,3
82,69,3
82,71,3
76,74,3
82,70,3
82,64,3
77,72,3
82,67,3
81,73,3
81,69,3
82,74,3
78,72,3
76,70,3
78,67,3
76,68,3
79,64,3
82,63,3
80,65,3
